top - 09:14:36 up 1 day,  6:54,  2 users,  load average: 1,06, 0,28, 0,1
Tasks: 161 total,   3 running, 155 sleeping,   3 stopped,   0 zombie
%Cpu(s):  0,5 us,  0,1 sy,  0,0 ni, 99,0 id,  0,4 wa,  0,0 hi,  0,1 si, 
KiB Mem :  1016120 total,    96116 free,   473172 used,   446832 buff/ca
KiB Swap:  2095100 total,  2092080 free,     3020 used.   346256 avail M

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+
  672 root      20   0   28624   3232   2856 S   0,0  0,3   0:00.15
  676 root      20   0  337392  10484   6748 S   0,0  1,0   0:00.08
  681 message+  20   0   43704   4864   3620 S   0,0  0,5   0:01.85
  728 root      20   0  274820   9620   8388 S   0,0  0,9   0:00.02
  730 root      20   0  392284  19400  14624 S   0,0  1,9   0:01.92
  800 root      20   0  294452  10016   7484 S   0,0  1,0   0:00.72
  810 root      20   0  292164   8216   7196 S   0,0  0,8   0:00.06
  813 root      20   0   19472    232      0 S   0,0  0,0   0:02.86
  827 root      20   0  274488  50940  33888 S   0,0  5,0   0:07.74
  837 root      20   0   65520   6108   5392 S   0,0  0,6   0:00.03
  847 mysql     20   0 1562152 166628  16604 S   0,0 16,4   0:48.97
  878 nobody    20   0   61464   4552   4160 S   0,0  0,4   0:00.14
  934 root      10 -10   19968    368      0 S   0,0  0,0   0:00.00
  935 root      10 -10   22056   6080   3544 S   0,0  0,6   0:07.62
 1102 root      20   0   24536   1780   1640 S   0,0  0,2   0:00.00
 1113 root      10 -10   24640   1932   1472 S   0,0  0,2   0:00.00
 1114 root      10 -10  248556  35796   7460 S   0,0  3,5   1:40.33
 1128 root      20   0   23952   2840   2292 S   0,0  0,3   0:00.00
 1168 root      20   0  293252  26572  20432 S   0,0  2,6   0:04.71
 1209 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1210 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1211 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1212 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1213 www-data  20   0  293276   8132   1984 S   0,0  0,8   0:00.00
 1225 root      20   0  226176   6564   5764 S   0,0  0,6   0:00.01
